;i;j;period;weight
926;Steinley, Doug;Hastie, Trevor;5;2.0
927;Steinley, Doug;Jajuga, Krzysztof;5;1.0
928;Steinley, Doug;Kiers, Henk;5;2.0
929;Steinley, Doug;Lausen, Berthold;5;1.0
930;Steinley, Doug;Makarenkov, Vladimir;5;2.0
931;Steinley, Doug;McLachlan, Geoff;5;1.0
932;Steinley, Doug;Meulman, Jacqueline;5;6.0
933;Steinley, Doug;Mirkin, Boris;5;2.0
934;Steinley, Doug;Riani, Marco;5;1.0
935;Steinley, Doug;Tibshirani, Robert;5;2.0
936;Steinley, Doug;Van Mechelen Iven;5;1.0
937;Steinley, Doug;Gilles Celeux;5;1.0
938;Steinley, Doug;Alain Guenoche;5;1.0
939;Steinley, Doug;Vichi, Maurizio;5;2.0
940;Steinley, Doug;Wolfgang A. Gaul;5;4.0
941;Steinley, Doug;Wojtek J Krzanowski;5;2.0
942;Steinley, Doug;Edvin Diday;5;2.0
943;Steinley, Doug;Adrian Raftery;5;2.0
944;Tibshirani, Robert;Hastie, Trevor;5;2.0
945;Tibshirani, Robert;McLachlan, Geoff;5;2.0
946;Tibshirani, Robert;Wojtek J Krzanowski;5;1.0
947;Tibshirani, Robert;Adrian Raftery;5;1.0
948;Van Mechelen Iven;Jajuga, Krzysztof;5;1.0
949;Van Mechelen Iven;Kiers, Henk;5;4.0
950;Van Mechelen Iven;Lausen, Berthold;5;1.0
951;Van Mechelen Iven;McLachlan, Geoff;5;1.0
952;Van Mechelen Iven;Meulman, Jacqueline;5;2.0
953;Van Mechelen Iven;Mirkin, Boris;5;1.0
954;Van Mechelen Iven;Murtagh, Fionn;5;1.0
955;Van Mechelen Iven;Rocci, Roberto;5;2.0
956;Van Mechelen Iven;Steinley, Doug;5;2.0
957;Van Mechelen Iven;Gilles Celeux;5;1.0
958;Van Mechelen Iven;Alain Guenoche;5;1.0
959;Van Mechelen Iven;Vichi, Maurizio;5;2.0
960;Van Mechelen Iven;Wolfgang A. Gaul;5;2.0
961;Van Mechelen Iven;Wojtek J Krzanowski;5;2.0
962;Van Mechelen Iven;Adrian Raftery;5;2.0
963;Paula Brito;Bertrand, Patrice;5;1.0
964;Paula Brito;De Carvalho, Francisco De Assis Tenhorio;5;4.0
965;Paula Brito;Jajuga, Krzysztof;5;2.0
966;Paula Brito;Palumbo, Francesco;5;1.0
967;Paula Brito;Rocci, Roberto;5;1.0
968;Paula Brito;Gilles Celeux;5;1.0
969;Paula Brito;Alain Guenoche;5;2.0
970;Paula Brito;Vichi, Maurizio;5;1.0
971;Paula Brito;Edvin Diday;5;1.0
972;Gilles Celeux;Batagelj, Vladimir;5;1.0
973;Gilles Celeux;Groenen, Patrick J.F.;5;1.0
974;Gilles Celeux;Kiers, Henk;5;1.0
975;Gilles Celeux;McLachlan, Geoff;5;2.0
976;Gilles Celeux;Tibshirani, Robert;5;1.0
977;Gilles Celeux;Paula Brito;5;1.0
978;Gilles Celeux;Vermunt, Jeroen;5;1.0
979;Gilles Celeux;Edvin Diday;5;1.0
980;Gilles Celeux;Adrian Raftery;5;1.0
981;Renato Coppi;Batagelj, Vladimir;5;1.0
982;Renato Coppi;Hastie, Trevor;5;1.0
983;Renato Coppi;Kiers, Henk;5;1.0
984;Renato Coppi;Meulman, Jacqueline;5;1.0
985;Renato Coppi;Mirkin, Boris;5;1.0
986;Renato Coppi;Rocci, Roberto;5;1.0
987;Renato Coppi;Tibshirani, Robert;5;1.0
988;Renato Coppi;Rudolf Kruse;5;1.0
989;Renato Coppi;Vichi, Maurizio;5;1.0
990;Renato Coppi;Edvin Diday;5;1.0
991;Alain Guenoche;Batagelj, Vladimir;5;2.0
992;Alain Guenoche;Gilbert Saporta;5;1.0
993;Frank Klawonn;Groenen, Patrick J.F.;5;3.0
994;Frank Klawonn;Tibshirani, Robert;5;1.0
995;Rudolf Kruse;Bertrand, Patrice;5;1.0
996;Rudolf Kruse;Geyer-Schulz, Andreas;5;1.0
997;Rudolf Kruse;Groenen, Patrick J.F.;5;4.0
998;Rudolf Kruse;Hastie, Trevor;5;1.0
999;Rudolf Kruse;Jajuga, Krzysztof;5;1.0
1000;Rudolf Kruse;Kiers, Henk;5;1.0
1001;Rudolf Kruse;Lausen, Berthold;5;1.0
1002;Rudolf Kruse;McLachlan, Geoff;5;1.0
1003;Rudolf Kruse;Meulman, Jacqueline;5;1.0
1004;Rudolf Kruse;Riani, Marco;5;1.0
1005;Rudolf Kruse;Rocci, Roberto;5;1.0
1006;Rudolf Kruse;Van Mechelen Iven;5;1.0
1007;Rudolf Kruse;Gilles Celeux;5;1.0
1008;Rudolf Kruse;Renato Coppi;5;1.0
1009;Rudolf Kruse;Frank Klawonn;5;2.0
1010;Rudolf Kruse;Vichi, Maurizio;5;1.0
1011;Rudolf Kruse;Wolfgang A. Gaul;5;1.0
1012;Rudolf Kruse;Edvin Diday;5;1.0
1013;Verde, Rosanna;De Carvalho, Francisco De Assis Tenhorio;5;2.0
1014;Verde, Rosanna;Groenen, Patrick J.F.;5;1.0
1015;Verde, Rosanna;Kiers, Henk;5;1.0
1016;Verde, Rosanna;Murtagh, Fionn;5;1.0
1017;Verde, Rosanna;Gilles Celeux;5;2.0
1018;Verde, Rosanna;Edvin Diday;5;1.0
1019;Verde, Rosanna;Adrian Raftery;5;1.0
1020;Vermunt, Jeroen;Batagelj, Vladimir;5;1.0
1021;Vermunt, Jeroen;Lausen, Berthold;5;1.0
1022;Vermunt, Jeroen;McLachlan, Geoff;5;2.0
1023;Vermunt, Jeroen;Mirkin, Boris;5;1.0
1024;Vermunt, Jeroen;Tibshirani, Robert;5;1.0
1025;Vermunt, Jeroen;Gilles Celeux;5;1.0
1026;Vichi, Maurizio;Batagelj, Vladimir;5;1.0
1027;Vichi, Maurizio;Bertrand, Patrice;5;1.0
1028;Vichi, Maurizio;Ferligoj, Anuska;5;1.0
1029;Vichi, Maurizio;Geyer-Schulz, Andreas;5;1.0
1030;Vichi, Maurizio;Jajuga, Krzysztof;5;1.0
1031;Vichi, Maurizio;Kiers, Henk;5;2.0
1032;Vichi, Maurizio;Lausen, Berthold;5;2.0
1033;Vichi, Maurizio;Meulman, Jacqueline;5;2.0
1034;Vichi, Maurizio;Palumbo, Francesco;5;1.0
1035;Vichi, Maurizio;Riani, Marco;5;2.0
1036;Vichi, Maurizio;Rocci, Roberto;5;1.0
1037;Vichi, Maurizio;Gilles Celeux;5;1.0
1038;Vichi, Maurizio;Renato Coppi;5;1.0
1039;Vichi, Maurizio;Rudolf Kruse;5;1.0
1040;Vichi, Maurizio;Wolfgang A. Gaul;5;2.0
1041;Vichi, Maurizio;Edvin Diday;5;1.0
1042;Vichi, Maurizio;Adrian Raftery;5;1.0
1043;Wolfgang A. Gaul;Bertrand, Patrice;5;1.0
1044;Wolfgang A. Gaul;Geyer-Schulz, Andreas;5;4.0
1045;Wolfgang A. Gaul;Jajuga, Krzysztof;5;1.0
1046;Wolfgang A. Gaul;Kiers, Henk;5;1.0
1047;Wolfgang A. Gaul;Lausen, Berthold;5;1.0
1048;Wolfgang A. Gaul;Riani, Marco;5;1.0
1049;Wolfgang A. Gaul;Rocci, Roberto;5;1.0
1050;Wolfgang A. Gaul;Van Mechelen Iven;5;2.0
1051;Wolfgang A. Gaul;Frank Klawonn;5;1.0
1052;Wolfgang A. Gaul;Rudolf Kruse;5;1.0
1053;Wolfgang A. Gaul;Vermunt, Jeroen;5;2.0
1054;Wolfgang A. Gaul;Vichi, Maurizio;5;1.0
1055;Wolfgang A. Gaul;Edvin Diday;5;1.0
1056;Wolfgang A. Gaul;Adrian Raftery;5;2.0
1057;Wojtek J Krzanowski;Groenen, Patrick J.F.;5;3.0
1058;Wojtek J Krzanowski;Hastie, Trevor;5;2.0
1059;Wojtek J Krzanowski;Jajuga, Krzysztof;5;1.0
1060;Wojtek J Krzanowski;McLachlan, Geoff;5;1.0
1061;Wojtek J Krzanowski;Meulman, Jacqueline;5;1.0
1062;Wojtek J Krzanowski;Mirkin, Boris;5;1.0
1063;Wojtek J Krzanowski;Tibshirani, Robert;5;1.0
1064;Gilbert Saporta;Bertrand, Patrice;5;1.0
1065;Gilbert Saporta;Hastie, Trevor;5;1.0
1066;Gilbert Saporta;Hennig, Christian;5;1.0
1067;Gilbert Saporta;Paula Brito;5;1.0
1068;Gilbert Saporta;Vichi, Maurizio;5;1.0
1069;Gilbert Saporta;Adrian Raftery;5;1.0
1070;Edvin Diday;Bertrand, Patrice;5;1.0
1071;Edvin Diday;Groenen, Patrick J.F.;5;1.0
1072;Edvin Diday;Jajuga, Krzysztof;5;1.0
1073;Edvin Diday;Kiers, Henk;5;2.0
1074;Edvin Diday;McLachlan, Geoff;5;1.0
1075;Edvin Diday;Meulman, Jacqueline;5;1.0
1076;Edvin Diday;Gilles Celeux;5;1.0
1077;Edvin Diday;Renato Coppi;5;1.0
1078;Edvin Diday;Verde, Rosanna;5;1.0
1079;Edvin Diday;Wojtek J Krzanowski;5;1.0
1080;Edvin Diday;Adrian Raftery;5;1.0
1081;Adrian Raftery;McLachlan, Geoff;5;2.0
1082;Adrian Raftery;Meulman, Jacqueline;5;1.0
1083;Adrian Raftery;Murtagh, Fionn;5;1.0
1084;Adrian Raftery;Tibshirani, Robert;5;2.0
1085;Adrian Raftery;Gilles Celeux;5;1.0
1086;Adrian Raftery;Wojtek J Krzanowski;5;2.0
1087;Batagelj, Vladimir;Ferligoj, Anuska;6;6.0
1088;Batagelj, Vladimir;Hennig, Christian;6;3.0
1089;Batagelj, Vladimir;Murtagh, Fionn;6;1.0
1090;Batagelj, Vladimir;Palumbo, Francesco;6;1.0
1091;Batagelj, Vladimir;Riani, Marco;6;1.0
1092;Batagelj, Vladimir;Verde, Rosanna;6;2.0
1093;Batagelj, Vladimir;Wolfgang A. Gaul;6;2.0
1094;Batagelj, Vladimir;Adrian Raftery;6;1.0
1095;Bertrand, Patrice;De Carvalho, Francisco De Assis Tenhorio;6;1.0
1096;Bertrand, Patrice;Groenen, Patrick J.F.;6;1.0
1097;Bertrand, Patrice;Meulman, Jacqueline;6;1.0
1098;Bertrand, Patrice;Mirkin, Boris;6;1.0
1099;Bertrand, Patrice;Tibshirani, Robert;6;1.0
1100;Bertrand, Patrice;Van Mechelen Iven;6;1.0
1101;Bertrand, Patrice;Renato Coppi;6;1.0
1102;Bertrand, Patrice;Verde, Rosanna;6;1.0
1103;Bertrand, Patrice;Wolfgang A. Gaul;6;1.0
1104;Bertrand, Patrice;Wojtek J Krzanowski;6;1.0
1105;Bertrand, Patrice;Edvin Diday;6;3.0
1106;Braak, Cajo ter;Kiers, Henk;6;1.0
1107;Braak, Cajo ter;Murtagh, Fionn;6;1.0
1108;Braak, Cajo ter;Tibshirani, Robert;6;2.0
1109;Braak, Cajo ter;Adrian Raftery;6;1.0
1110;De Carvalho, Francisco De Assis Tenhorio;Bertrand, Patrice;6;4.0
1111;De Carvalho, Francisco De Assis Tenhorio;Groenen, Patrick J.F.;6;1.0
1112;De Carvalho, Francisco De Assis Tenhorio;Jajuga, Krzysztof;6;1.0
1113;De Carvalho, Francisco De Assis Tenhorio;Kiers, Henk;6;1.0
1114;De Carvalho, Francisco De Assis Tenhorio;Meulman, Jacqueline;6;1.0
1115;De Carvalho, Francisco De Assis Tenhorio;Palumbo, Francesco;6;4.0
1116;De Carvalho, Francisco De Assis Tenhorio;Paula Brito;6;4.0
1117;De Carvalho, Francisco De Assis Tenhorio;Gilles Celeux;6;3.0
1118;De Carvalho, Francisco De Assis Tenhorio;Verde, Rosanna;6;6.0
1119;De Carvalho, Francisco De Assis Tenhorio;Vichi, Maurizio;6;3.0
1120;De Carvalho, Francisco De Assis Tenhorio;Wolfgang A. Gaul;6;2.0
1121;De Carvalho, Francisco De Assis Tenhorio;Edvin Diday;6;7.0
1122;Ferligoj, Anuska;Batagelj, Vladimir;6;2.0
1123;Ferligoj, Anuska;Bertrand, Patrice;6;1.0
1124;Ferligoj, Anuska;De Carvalho, Francisco De Assis Tenhorio;6;1.0
1125;Ferligoj, Anuska;Hennig, Christian;6;1.0
1126;Ferligoj, Anuska;Riani, Marco;6;1.0
1127;Ferligoj, Anuska;Paula Brito;6;1.0
1128;Ferligoj, Anuska;Wolfgang A. Gaul;6;1.0
1129;Ferligoj, Anuska;Adrian Raftery;6;1.0
1130;Geyer-Schulz, Andreas;Batagelj, Vladimir;6;1.0
1131;Geyer-Schulz, Andreas;Ferligoj, Anuska;6;1.0
1132;Geyer-Schulz, Andreas;Leisch, Friedrich;6;1.0
1133;Geyer-Schulz, Andreas;Mirkin, Boris;6;1.0
1134;Geyer-Schulz, Andreas;Riani, Marco;6;2.0
1135;Geyer-Schulz, Andreas;Frank Klawonn;6;1.0
1136;Geyer-Schulz, Andreas;Rudolf Kruse;6;1.0
1137;Geyer-Schulz, Andreas;Vichi, Maurizio;6;2.0
1138;Geyer-Schulz, Andreas;Wolfgang A. Gaul;6;3.0
1139;Gorban, Alexander N;Batagelj, Vladimir;6;1.0
1140;Gorban, Alexander N;Hastie, Trevor;6;5.0
1141;Gorban, Alexander N;McLachlan, Geoff;6;1.0
1142;Gorban, Alexander N;Mirkin, Boris;6;2.0
1143;Gorban, Alexander N;Tibshirani, Robert;6;1.0
1144;Gorban, Alexander N;Adrian Raftery;6;1.0
1145;Groenen, Patrick J.F.;Batagelj, Vladimir;6;1.0
1146;Groenen, Patrick J.F.;Bertrand, Patrice;6;1.0
1147;Groenen, Patrick J.F.;Braak, Cajo ter;6;1.0
1148;Groenen, Patrick J.F.;De Carvalho, Francisco De Assis Tenhorio;6;1.0
1149;Groenen, Patrick J.F.;Ferligoj, Anuska;6;1.0
1150;Groenen, Patrick J.F.;Hastie, Trevor;6;3.0
1151;Groenen, Patrick J.F.;Jajuga, Krzysztof;6;1.0
1152;Groenen, Patrick J.F.;Kiers, Henk;6;2.0
1153;Groenen, Patrick J.F.;Meulman, Jacqueline;6;6.0
1154;Groenen, Patrick J.F.;Mirkin, Boris;6;1.0
1155;Groenen, Patrick J.F.;Murtagh, Fionn;6;1.0
1156;Groenen, Patrick J.F.;Tibshirani, Robert;6;5.0
1157;Groenen, Patrick J.F.;Frank Klawonn;6;1.0
1158;Groenen, Patrick J.F.;Rudolf Kruse;6;1.0
1159;Groenen, Patrick J.F.;Vermunt, Jeroen;6;2.0
1160;Groenen, Patrick J.F.;Wolfgang A. Gaul;6;1.0
1161;Groenen, Patrick J.F.;Wojtek J Krzanowski;6;2.0
1162;Groenen, Patrick J.F.;Gilbert Saporta;6;2.0
1163;Groenen, Patrick J.F.;Edvin Diday;6;2.0
1164;Hastie, Trevor;McLachlan, Geoff;6;1.0
1165;Hastie, Trevor;Meulman, Jacqueline;6;3.0
1166;Hastie, Trevor;Rudolf Kruse;6;1.0
1167;Hennig, Christian;Batagelj, Vladimir;6;1.0
1168;Hennig, Christian;Ferligoj, Anuska;6;1.0
1169;Hennig, Christian;Jajuga, Krzysztof;6;1.0
1170;Hennig, Christian;Leisch, Friedrich;6;1.0
1171;Hennig, Christian;McLachlan, Geoff;6;2.0
1172;Hennig, Christian;Riani, Marco;6;1.0
1173;Hennig, Christian;Tibshirani, Robert;6;2.0
1174;Hennig, Christian;Gilles Celeux;6;1.0
1175;Hennig, Christian;Vermunt, Jeroen;6;2.0
1176;Hennig, Christian;Wolfgang A. Gaul;6;3.0
1177;Hennig, Christian;Adrian Raftery;6;3.0
1178;Hruschka, Harald;Hastie, Trevor;6;1.0
1179;Hruschka, Harald;McLachlan, Geoff;6;1.0
1180;Hruschka, Harald;Tibshirani, Robert;6;1.0
1181;Hruschka, Harald;Adrian Raftery;6;2.0
1182;Kiers, Henk;Groenen, Patrick J.F.;6;1.0
1183;Kiers, Henk;Hastie, Trevor;6;1.0
1184;Kiers, Henk;McLachlan, Geoff;6;1.0
1185;Kiers, Henk;Meulman, Jacqueline;6;2.0
1186;Kiers, Henk;Rocci, Roberto;6;1.0
1187;Kiers, Henk;Steinley, Doug;6;1.0
1188;Kiers, Henk;Tibshirani, Robert;6;4.0
1189;Kiers, Henk;Vichi, Maurizio;6;1.0
1190;Kiers, Henk;Wojtek J Krzanowski;6;2.0
1191;Kiers, Henk;Edvin Diday;6;1.0
1192;Kuntz, Pascale;Bertrand, Patrice;6;2.0
1193;Kuntz, Pascale;Lausen, Berthold;6;1.0
1194;Kuntz, Pascale;Murtagh, Fionn;6;1.0
1195;Kuntz, Pascale;Paula Brito;6;1.0
1196;Kuntz, Pascale;Rudolf Kruse;6;1.0
1197;Kuntz, Pascale;Gilbert Saporta;6;1.0
1198;Kuntz, Pascale;Edvin Diday;6;2.0
1199;Lausen, Berthold;Geyer-Schulz, Andreas;6;1.0
1200;Lausen, Berthold;Groenen, Patrick J.F.;6;1.0
1201;Lausen, Berthold;Hastie, Trevor;6;2.0
1202;Lausen, Berthold;Hennig, Christian;6;1.0
1203;Lausen, Berthold;Jajuga, Krzysztof;6;1.0
1204;Lausen, Berthold;Leisch, Friedrich;6;3.0
1205;Lausen, Berthold;McLachlan, Geoff;6;2.0
1206;Lausen, Berthold;Meulman, Jacqueline;6;1.0
1207;Lausen, Berthold;Murtagh, Fionn;6;1.0
1208;Lausen, Berthold;Palumbo, Francesco;6;2.0
1209;Lausen, Berthold;Tibshirani, Robert;6;2.0
1210;Lausen, Berthold;Van Mechelen Iven;6;1.0
1211;Lausen, Berthold;Gilles Celeux;6;1.0
1212;Lausen, Berthold;Rudolf Kruse;6;3.0
1213;Lausen, Berthold;Vermunt, Jeroen;6;1.0
1214;Lausen, Berthold;Vichi, Maurizio;6;2.0
1215;Lausen, Berthold;Wolfgang A. Gaul;6;2.0
1216;Lausen, Berthold;Edvin Diday;6;1.0
1217;Leisch, Friedrich;Hastie, Trevor;6;2.0
1218;Leisch, Friedrich;Hennig, Christian;6;6.0
1219;Leisch, Friedrich;McLachlan, Geoff;6;8.0
1220;Leisch, Friedrich;Tibshirani, Robert;6;1.0
1221;Leisch, Friedrich;Van Mechelen Iven;6;1.0
1222;Leisch, Friedrich;Paula Brito;6;2.0
1223;Leisch, Friedrich;Gilles Celeux;6;4.0
1224;Leisch, Friedrich;Vermunt, Jeroen;6;2.0
1225;Leisch, Friedrich;Vichi, Maurizio;6;4.0
1226;Leisch, Friedrich;Wojtek J Krzanowski;6;1.0
1227;Leisch, Friedrich;Adrian Raftery;6;6.0
1228;Makarenkov, Vladimir;Batagelj, Vladimir;6;1.0
1229;Makarenkov, Vladimir;Ferligoj, Anuska;6;1.0
1230;Makarenkov, Vladimir;Mirkin, Boris;6;1.0
1231;Makarenkov, Vladimir;Wolfgang A. Gaul;6;1.0
1232;McLachlan, Geoff;Hastie, Trevor;6;5.0
1233;McLachlan, Geoff;Hennig, Christian;6;1.0
1234;McLachlan, Geoff;Meulman, Jacqueline;6;1.0
1235;McLachlan, Geoff;Palumbo, Francesco;6;1.0
1236;McLachlan, Geoff;Tibshirani, Robert;6;6.0
1237;McLachlan, Geoff;Gilles Celeux;6;2.0
1238;McLachlan, Geoff;Vermunt, Jeroen;6;1.0
1239;McLachlan, Geoff;Wojtek J Krzanowski;6;1.0
1240;McLachlan, Geoff;Adrian Raftery;6;7.0
1241;Meulman, Jacqueline;Batagelj, Vladimir;6;1.0
1242;Meulman, Jacqueline;Groenen, Patrick J.F.;6;2.0
1243;Meulman, Jacqueline;Hastie, Trevor;6;2.0
1244;Meulman, Jacqueline;Kiers, Henk;6;1.0
1245;Meulman, Jacqueline;Tibshirani, Robert;6;4.0
1246;Meulman, Jacqueline;Wolfgang A. Gaul;6;1.0
1247;Meulman, Jacqueline;Gilbert Saporta;6;1.0
1248;Meulman, Jacqueline;Edvin Diday;6;1.0
1249;Mirkin, Boris;Hastie, Trevor;6;1.0
1250;Mirkin, Boris;McLachlan, Geoff;6;2.0
1251;Mirkin, Boris;Murtagh, Fionn;6;1.0
1252;Mirkin, Boris;Tibshirani, Robert;6;1.0
1253;Mirkin, Boris;Van Mechelen Iven;6;2.0
1254;Mirkin, Boris;Gilles Celeux;6;1.0
1255;Mirkin, Boris;Wojtek J Krzanowski;6;2.0
1256;Mirkin, Boris;Edvin Diday;6;1.0
1257;Mirkin, Boris;Adrian Raftery;6;1.0
1258;Murtagh, Fionn;Groenen, Patrick J.F.;6;1.0
1259;Murtagh, Fionn;McLachlan, Geoff;6;1.0
1260;Murtagh, Fionn;Wolfgang A. Gaul;6;1.0
1261;Murtagh, Fionn;Wojtek J Krzanowski;6;1.0
1262;Murtagh, Fionn;Gilbert Saporta;6;1.0
1263;Murtagh, Fionn;Edvin Diday;6;1.0
1264;Palumbo, Francesco;Kiers, Henk;6;1.0
1265;Palumbo, Francesco;Vichi, Maurizio;6;1.0
1266;Riani, Marco;McLachlan, Geoff;6;1.0
1267;Riani, Marco;Vichi, Maurizio;6;3.0
1268;Riani, Marco;Edvin Diday;6;1.0
1269;Riani, Marco;Adrian Raftery;6;2.0
1270;Rocci, Roberto;Hastie, Trevor;6;1.0
1271;Rocci, Roberto;Kiers, Henk;6;1.0
1272;Rocci, Roberto;McLachlan, Geoff;6;4.0
1273;Rocci, Roberto;Riani, Marco;6;1.0
1274;Rocci, Roberto;Tibshirani, Robert;6;1.0
1275;Rocci, Roberto;Van Mechelen Iven;6;1.0
1276;Rocci, Roberto;Gilles Celeux;6;3.0
1277;Rocci, Roberto;Vichi, Maurizio;6;3.0
1278;Rocci, Roberto;Wolfgang A. Gaul;6;1.0
1279;Rocci, Roberto;Gilbert Saporta;6;1.0
1280;Rocci, Roberto;Edvin Diday;6;1.0
1281;Rocci, Roberto;Adrian Raftery;6;1.0
1282;Steinley, Doug;Batagelj, Vladimir;6;1.0
1283;Steinley, Doug;Ferligoj, Anuska;6;1.0
1284;Steinley, Doug;Groenen, Patrick J.F.;6;1.0
1285;Steinley, Doug;Hastie, Trevor;6;5.0
1286;Steinley, Doug;Hennig, Christian;6;1.0
1287;Steinley, Doug;Kiers, Henk;6;1.0
1288;Steinley, Doug;Leisch, Friedrich;6;1.0
1289;Steinley, Doug;McLachlan, Geoff;6;3.0
1290;Steinley, Doug;Meulman, Jacqueline;6;7.0
1291;Steinley, Doug;Mirkin, Boris;6;4.0
1292;Steinley, Doug;Tibshirani, Robert;6;5.0
1293;Steinley, Doug;Van Mechelen Iven;6;1.0
1294;Steinley, Doug;Vermunt, Jeroen;6;1.0
1295;Steinley, Doug;Vichi, Maurizio;6;3.0
1296;Steinley, Doug;Wolfgang A. Gaul;6;9.0
1297;Steinley, Doug;Wojtek J Krzanowski;6;4.0
1298;Steinley, Doug;Gilbert Saporta;6;1.0
1299;Steinley, Doug;Edvin Diday;6;1.0
1300;Steinley, Doug;Adrian Raftery;6;4.0
1301;Tibshirani, Robert;De Carvalho, Francisco De Assis Tenhorio;6;1.0
1302;Tibshirani, Robert;Hastie, Trevor;6;7.0
1303;Tibshirani, Robert;McLachlan, Geoff;6;2.0
1304;Tibshirani, Robert;Murtagh, Fionn;6;1.0
1305;Tibshirani, Robert;Frank Klawonn;6;1.0
1306;Tibshirani, Robert;Verde, Rosanna;6;1.0
1307;Tibshirani, Robert;Wolfgang A. Gaul;6;2.0
1308;Tibshirani, Robert;Wojtek J Krzanowski;6;2.0
1309;Tibshirani, Robert;Adrian Raftery;6;1.0
1310;Van Mechelen Iven;Groenen, Patrick J.F.;6;5.0
1311;Van Mechelen Iven;Hastie, Trevor;6;1.0
1312;Van Mechelen Iven;Jajuga, Krzysztof;6;1.0
1313;Van Mechelen Iven;Kiers, Henk;6;3.0
1314;Van Mechelen Iven;McLachlan, Geoff;6;1.0
1315;Van Mechelen Iven;Mirkin, Boris;6;2.0
1316;Van Mechelen Iven;Rocci, Roberto;6;2.0
1317;Van Mechelen Iven;Steinley, Doug;6;1.0
1318;Van Mechelen Iven;Tibshirani, Robert;6;1.0
1319;Van Mechelen Iven;Renato Coppi;6;1.0
1320;Van Mechelen Iven;Vichi, Maurizio;6;3.0
1321;Van Mechelen Iven;Wolfgang A. Gaul;6;4.0
1322;Van Mechelen Iven;Wojtek J Krzanowski;6;3.0
1323;Van Mechelen Iven;Adrian Raftery;6;1.0
1324;Paula Brito;Batagelj, Vladimir;6;1.0
1325;Paula Brito;Bertrand, Patrice;6;2.0
1326;Paula Brito;De Carvalho, Francisco De Assis Tenhorio;6;4.0
1327;Paula Brito;Ferligoj, Anuska;6;1.0
1328;Paula Brito;Groenen, Patrick J.F.;6;1.0
1329;Paula Brito;Kuntz, Pascale;6;1.0
1330;Paula Brito;Leisch, Friedrich;6;1.0
1331;Paula Brito;McLachlan, Geoff;6;1.0
1332;Paula Brito;Meulman, Jacqueline;6;2.0
1333;Paula Brito;Mirkin, Boris;6;1.0
1334;Paula Brito;Murtagh, Fionn;6;1.0
1335;Paula Brito;Palumbo, Francesco;6;2.0
1336;Paula Brito;Riani, Marco;6;1.0
1337;Paula Brito;Gilles Celeux;6;1.0
1338;Paula Brito;Alain Guenoche;6;1.0
1339;Paula Brito;Vichi, Maurizio;6;1.0
1340;Paula Brito;Wolfgang A. Gaul;6;1.0
1341;Paula Brito;Gilbert Saporta;6;1.0
1342;Paula Brito;Edvin Diday;6;2.0
1343;Gilles Celeux;Hastie, Trevor;6;1.0
1344;Gilles Celeux;McLachlan, Geoff;6;1.0
1345;Gilles Celeux;Tibshirani, Robert;6;1.0
1346;Gilles Celeux;Vermunt, Jeroen;6;1.0
1347;Renato Coppi;Hastie, Trevor;6;1.0
1348;Renato Coppi;Kiers, Henk;6;1.0
1349;Renato Coppi;Mirkin, Boris;6;1.0
1350;Renato Coppi;Tibshirani, Robert;6;1.0
1351;Renato Coppi;Van Mechelen Iven;6;1.0
1352;Renato Coppi;Verde, Rosanna;6;1.0
1353;Alain Guenoche;Batagelj, Vladimir;6;2.0
1354;Frank Klawonn;Groenen, Patrick J.F.;6;2.0
1355;Frank Klawonn;Hastie, Trevor;6;1.0
1356;Frank Klawonn;McLachlan, Geoff;6;1.0
1357;Frank Klawonn;Tibshirani, Robert;6;1.0
1358;Frank Klawonn;Rudolf Kruse;6;1.0
1359;Rudolf Kruse;Groenen, Patrick J.F.;6;2.0
1360;Rudolf Kruse;Frank Klawonn;6;1.0
1361;Verde, Rosanna;Batagelj, Vladimir;6;1.0
1362;Verde, Rosanna;Bertrand, Patrice;6;1.0
1363;Verde, Rosanna;De Carvalho, Francisco De Assis Tenhorio;6;1.0
1364;Verde, Rosanna;Ferligoj, Anuska;6;1.0
1365;Verde, Rosanna;Groenen, Patrick J.F.;6;1.0
1366;Verde, Rosanna;Kiers, Henk;6;1.0
1367;Verde, Rosanna;Meulman, Jacqueline;6;1.0
1368;Verde, Rosanna;Palumbo, Francesco;6;1.0
1369;Verde, Rosanna;Gilles Celeux;6;2.0
1370;Verde, Rosanna;Renato Coppi;6;1.0
1371;Verde, Rosanna;Edvin Diday;6;2.0
1372;Vermunt, Jeroen;De Carvalho, Francisco De Assis Tenhorio;6;1.0
1373;Vermunt, Jeroen;Hennig, Christian;6;1.0
1374;Vermunt, Jeroen;Lausen, Berthold;6;2.0
1375;Vermunt, Jeroen;McLachlan, Geoff;6;2.0
1376;Vermunt, Jeroen;Tibshirani, Robert;6;1.0
1377;Vermunt, Jeroen;Gilles Celeux;6;1.0
1378;Vichi, Maurizio;Bertrand, Patrice;6;1.0
1379;Vichi, Maurizio;Ferligoj, Anuska;6;1.0
1380;Vichi, Maurizio;Hennig, Christian;6;1.0
1381;Vichi, Maurizio;Kiers, Henk;6;1.0
1382;Vichi, Maurizio;Leisch, Friedrich;6;1.0
1383;Vichi, Maurizio;McLachlan, Geoff;6;3.0
1384;Vichi, Maurizio;Meulman, Jacqueline;6;1.0
1385;Vichi, Maurizio;Riani, Marco;6;1.0
