;i;j;period;weight
176;Makarenkov, Vladimir;Alain Guenoche;2;4.0
177;Makarenkov, Vladimir;Adrian Raftery;2;1.0
178;McLachlan, Geoff;Ferligoj, Anuska;2;1.0
179;McLachlan, Geoff;Groenen, Patrick J.F.;2;2.0
180;McLachlan, Geoff;Hastie, Trevor;2;1.0
181;McLachlan, Geoff;Murtagh, Fionn;2;1.0
182;McLachlan, Geoff;Tibshirani, Robert;2;2.0
183;McLachlan, Geoff;Vichi, Maurizio;2;1.0
184;McLachlan, Geoff;Gilbert Saporta;2;1.0
185;McLachlan, Geoff;Adrian Raftery;2;2.0
186;Meulman, Jacqueline;Ferligoj, Anuska;2;1.0
187;Meulman, Jacqueline;Groenen, Patrick J.F.;2;5.0
188;Meulman, Jacqueline;Hastie, Trevor;2;1.0
189;Meulman, Jacqueline;Kiers, Henk;2;2.0
190;Meulman, Jacqueline;Makarenkov, Vladimir;2;1.0
191;Meulman, Jacqueline;McLachlan, Geoff;2;1.0
192;Meulman, Jacqueline;Tibshirani, Robert;2;2.0
193;Meulman, Jacqueline;Renato Coppi;2;1.0
194;Meulman, Jacqueline;Vichi, Maurizio;2;2.0
195;Meulman, Jacqueline;Wolfgang A. Gaul;2;2.0
196;Meulman, Jacqueline;Wojtek J Krzanowski;2;5.0
197;Meulman, Jacqueline;Gilbert Saporta;2;1.0
198;Mirkin, Boris;Murtagh, Fionn;2;1.0
199;Mirkin, Boris;Tibshirani, Robert;2;1.0
200;Mirkin, Boris;Frank Klawonn;2;2.0
201;Mirkin, Boris;Rudolf Kruse;2;1.0
202;Murtagh, Fionn;De Carvalho, Francisco De Assis Tenhorio;2;1.0
203;Murtagh, Fionn;Ferligoj, Anuska;2;1.0
204;Murtagh, Fionn;Hastie, Trevor;2;1.0
205;Murtagh, Fionn;Gilles Celeux;2;1.0
206;Murtagh, Fionn;Wolfgang A. Gaul;2;2.0
207;Murtagh, Fionn;Wojtek J Krzanowski;2;1.0
208;Murtagh, Fionn;Adrian Raftery;2;3.0
209;Palumbo, Francesco;De Carvalho, Francisco De Assis Tenhorio;2;3.0
210;Palumbo, Francesco;Kiers, Henk;2;1.0
211;Palumbo, Francesco;Verde, Rosanna;2;2.0
212;Palumbo, Francesco;Vichi, Maurizio;2;1.0
213;Riani, Marco;Bertrand, Patrice;2;1.0
214;Riani, Marco;Bodjanova, Slavka;2;1.0
215;Riani, Marco;De Carvalho, Francisco De Assis Tenhorio;2;1.0
216;Riani, Marco;Ferligoj, Anuska;2;1.0
217;Riani, Marco;Groenen, Patrick J.F.;2;1.0
218;Riani, Marco;Hennig, Christian;2;1.0
219;Riani, Marco;Kiers, Henk;2;1.0
